position,champion_name,grade_x,lane,win_rate,pick_rate,ban_rate,pbi,games_played,ranking,grade_y,grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,custom_grade
52,Darius,3.0,top,41.45,8.08,17.25,-26,59580,iron,2.0,3.0,"['Quinn', 'Kled', 'Yorick', 'Gnar', 'Ornn']","['42.24', '42.71', '43.51', '43.62', '44.21']","['161', '96', '439', '149', '233']","['Singed', 'Poppy', 'Warwick', 'Heimerdinger', 'Yasuo']","['59.02', '56.67', '55.06', '54.95', '54.62']","['122', '60', '178', '182', '346']",2.6666666666666665
53,Aatrox,3.0,top,41.53,6.97,11.51,-21,51398,iron,2.0,3.0,"['Singed', 'Sion', 'Dr. Mundo', 'Illaoi', 'Ornn']","['39.64', '40.67', '42.46', '42.78', '43.22']","['111', '209', '252', '589', '199']","['Sylas', ""K'Sante"", 'Vayne', 'Gwen', 'Olaf']","['61.11', '56.32', '54.76', '54.2', '53.64']","['90', '190', '126', '286', '151']",2.6666666666666665
54,Aurelion Sol,3.0,top,43.66,0.11,1.32,0,836,iron,4.0,,['Teemo'],['36.67'],['30'],[],[],[],3.5
55,Renekton,3.0,top,41.73,3.68,2.81,-9,27133,iron,3.0,4.0,"['Kled', 'Ornn', 'Dr. Mundo', 'Illaoi', 'Kayle']","['29.27', '35.51', '37.3', '38.49', '38.69']","['41', '107', '185', '291', '137']","['Jayce', ""K'Sante"", 'Riven', 'Kennen', 'Irelia']","['60.92', '60.53', '57.14', '56.9', '55.48']","['87', '76', '126', '58', '146']",3.3333333333333335
56,Riven,3.0,top,39.06,2.59,0.83,-13,19136,iron,3.0,5.0,"['Warwick', 'Ornn', 'Quinn', 'Illaoi', 'Trundle']","['31.71', '33.33', '34.88', '35.98', '39']","['41', '51', '43', '214', '241']","[""K'Sante"", 'Gwen', 'Gangplank', 'Yasuo', 'Gnar']","['59.57', '59.34', '56.82', '56.76', '56.67']","['47', '91', '44', '111', '60']",3.6666666666666665
57,Teemo,3.0,top,46.99,9.79,18.96,34,72213,iron,1.0,1.0,"['Sion', 'Yorick', 'Dr. Mundo', 'Nasus', 'Heimerdinger']","['40.76', '42.19', '44.58', '47.38', '47.45']","['395', '659', '406', '975', '333']","['Camille', 'Renekton', 'Gangplank', 'Illaoi', 'Gnar']","['59.73', '58.94', '58.13', '58.12', '57.51']","['221', '341', '203', '948', '193']",1.6666666666666667
58,Ashe,3.0,top,42.17,0.38,7.62,-1,2810,iron,4.0,,"['Jax', 'Yone', 'Teemo', 'Sett', 'Illaoi']","['35.9', '37.25', '43.06', '43.33', '43.48']","['39', '51', '72', '60', '46']",[],[],[],3.5
59,Kalista,3.0,top,39.97,0.33,1.24,-1,2407,iron,4.0,,"['Sett', 'Teemo', 'Darius', 'Trundle', 'Garen']","['34.29', '38.71', '45.16', '47.73', '48.72']","['35', '31', '31', '44', '39']",['Illaoi'],['51.61'],['31'],3.5
60,Briar,3.0,top,42.64,0.25,24.77,0,1815,iron,3.0,,['Garen'],['25.71'],['35'],['Teemo'],['62.86'],['35'],3.0
61,Veigar,3.0,top,44.64,0.32,5.99,0,2377,iron,3.0,,"['Nasus', 'Garen', 'Jax', 'Teemo', 'Darius']","['42.31', '43.1', '46.55', '47.3', '48.48']","['52', '58', '58', '74', '33']","['Aatrox', 'Illaoi', 'Trundle', 'Mordekaiser']","['62.16', '56.76', '54.39', '52.5']","['37', '37', '57', '40']",3.0
