position,champion_name,grade_x,lane,win_rate,pick_rate,ban_rate,pbi,games_played,ranking,grade_y,grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,custom_grade
41,Sett,2.666,top,50.46,5.25,2.14,1,160354,platinum,2.0,3.0,"['Maokai', 'Udyr', 'Trundle', 'Poppy', 'Vayne']","['43.6', '44.16', '44.58', '45.45', '45.72']","['172', '197', '3840', '473', '584']","['Rumble', 'Wukong', 'Kennen', 'Sylas', 'Yone']","['57.12', '56.37', '55.34', '54.65', '54.35']","['646', '204', '412', '344', '3494']",2.5553333333333335
42,Udyr,3.0,top,49.87,0.5,1.03,0,15365,platinum,3.0,5.0,"['Kled', 'Urgot', 'Poppy', 'Shen', 'Varus']","['34.78', '35.59', '36.36', '36.47', '37.14']","['46', '59', '44', '85', '35']","['Yasuo', 'Irelia', 'Sylas', ""Cho'Gath"", 'Sett']","['59.15', '57.63', '57.14', '56.92', '55.56']","['71', '118', '49', '65', '198']",3.6666666666666665
43,Aurelion Sol,3.0,top,51.26,0.1,1.2,0,2983,platinum,3.0,,"['Volibear', 'Camille', 'Yorick', 'Malphite', 'Yone']","['35.71', '41.51', '42', '42.19', '44.16']","['42', '53', '50', '64', '77']","['Akali', 'Teemo', 'Gwen', 'Sett', 'Sion']","['72.73', '61.22', '60', '59.62', '59.57']","['33', '49', '30', '52', '47']",3.0
44,Cho'Gath,3.0,top,50.48,2.09,0.7,0,63864,platinum,3.0,4.0,"['Vayne', 'Warwick', 'Udyr', 'Dr. Mundo', 'Kled']","['42.18', '43.05', '43.08', '43.31', '44.39']","['275', '151', '65', '538', '187']","['Yasuo', 'Gragas', 'Poppy', 'Akali', ""K'Sante""]","['60.63', '59.33', '58.54', '56.77', '56.64']","['348', '150', '123', '303', '369']",3.3333333333333335
45,Vladimir,3.0,top,49.72,0.73,3.59,0,22379,platinum,3.0,5.0,"['Varus', 'Heimerdinger', 'Nasus', 'Urgot', 'Tahm Kench']","['37.1', '39.02', '39.43', '39.81', '39.85']","['62', '41', '350', '108', '133']","['Poppy', 'Gragas', 'Warwick', 'Kennen', 'Gnar']","['73.85', '64', '60', '56.2', '55.22']","['65', '50', '50', '121', '134']",3.6666666666666665
46,Jayce,3.0,top,48.1,4.92,2.95,-11,150201,platinum,2.0,4.0,"['Olaf', 'Urgot', 'Poppy', 'Ornn', 'Quinn']","['39.18', '41.77', '42.39', '42.45', '42.92']","['633', '577', '394', '1079', '650']","['Vladimir', 'Udyr', 'Zed', 'Wukong', 'Yasuo']","['55.84', '55.84', '54.55', '53.73', '53.48']","['231', '154', '264', '255', '847']",3.0
47,Nidalee,3.0,top,48.0,0.07,1.75,0,2175,platinum,4.0,,"['Jayce', 'Yone', 'Trundle', 'Darius', 'Garen']","['32.35', '44.19', '46.55', '47.37', '48.65']","['34', '43', '58', '38', '37']","['Jax', 'Aatrox', 'Riven', 'Malphite']","['55.77', '52.38', '51.61', '51.43']","['52', '63', '31', '35']",3.5
48,Lillia,3.0,top,51.28,0.34,2.4,0,10347,platinum,3.0,,"['Gnar', 'Teemo', 'Riven', 'Gangplank', 'Poppy']","['28.85', '35.11', '41.57', '42.25', '42.42']","['52', '94', '89', '71', '33']","['Camille', 'Akali', 'Shen', 'Kennen', 'Sion']","['67.06', '64.91', '64.71', '60.53', '58.82']","['85', '57', '51', '38', '119']",3.0
49,Shen,3.0,top,50.03,1.96,0.25,0,59723,platinum,3.0,4.0,"['Vayne', 'Poppy', 'Singed', 'Illaoi', 'Quinn']","['43', '43.2', '43.51', '43.7', '44.94']","['200', '169', '239', '698', '178']","['Udyr', 'Wukong', 'Gragas', 'Yasuo', 'Zed']","['63.53', '59.52', '59.48', '57.08', '56.52']","['85', '84', '116', '240', '69']",3.3333333333333335
50,Azir,3.0,top,48.66,0.11,0.71,0,3317,platinum,4.0,,"[""K'Sante"", 'Ornn', 'Teemo', 'Gnar', 'Riven']","['40.54', '41.03', '41.1', '43.59', '43.59']","['37', '39', '73', '39', '78']","['Gangplank', 'Yorick', 'Jayce', 'Fiora', 'Akali']","['74.42', '63.33', '62.5', '61.19', '60.42']","['43', '30', '80', '67', '48']",3.5
51,Varus,3.0,top,49.37,1.26,2.8,-1,38434,platinum,3.0,5.0,"['Dr. Mundo', 'Teemo', 'Malphite', 'Zac', 'Kled']","['40.58', '42.64', '43.14', '43.24', '43.62']","['207', '394', '598', '37', '149']","['Vladimir', 'Rengar', 'Udyr', 'Rumble', 'Maokai']","['62.9', '62.22', '61.76', '59.85', '57.78']","['62', '45', '34', '132', '45']",3.6666666666666665
52,Pantheon,3.0,top,49.23,2.24,3.33,-2,68409,platinum,3.0,4.0,"['Maokai', 'Warwick', 'Malphite', 'Urgot', 'Wukong']","['36.73', '40.63', '42.05', '44.23', '44.74']","['98', '192', '1094', '364', '76']","['Gragas', 'Gnar', 'Kennen', 'Vladimir', 'Sylas']","['56.69', '55.81', '55.38', '55.22', '55.09']","['157', '439', '251', '134', '167']",3.3333333333333335
53,Qiyana,3.333,top,47.73,0.05,0.34,0,1651,platinum,4.0,,"['Garen', 'Trundle', 'Malphite', 'Nasus', 'Irelia']","['33.33', '39.02', '42.42', '43.33', '46.67']","['33', '41', '33', '30', '30']","['Aatrox', 'Darius', 'Yone', 'Jax']","['55.56', '52.78', '52.5', '50.98']","['54', '36', '40', '51']",3.6665
54,K'Sante,3.333,top,47.29,3.17,5.48,-10,96818,platinum,3.0,5.0,"['Singed', 'Zed', 'Heimerdinger', 'Vayne', 'Garen']","['39.54', '40.46', '42.27', '42.64', '42.82']","['306', '131', '97', '394', '2069']","['Udyr', 'Rengar', 'Gragas', 'Irelia', 'Pantheon']","['57.5', '55.68', '55.29', '53.71', '52.64']","['120', '176', '170', '808', '454']",3.7776666666666667
55,Irelia,3.333,top,49.6,3.86,11.08,-3,117959,platinum,2.0,4.0,"['Warwick', 'Udyr', 'Trundle', 'Illaoi', 'Tryndamere']","['40.22', '41.46', '41.97', '43.42', '43.95']","['363', '123', '2442', '1200', '760']","['Rumble', 'Yorick', 'Heimerdinger', 'Sylas', 'Kennen']","['56.81', '56.06', '56.02', '55.37', '54.88']","['646', '1320', '241', '354', '512']",3.111
56,Volibear,3.333,top,50.23,4.24,1.62,0,129565,platinum,2.0,4.0,"['Kayle', 'Quinn', 'Teemo', 'Vayne', 'Heimerdinger']","['40.86', '42.15', '42.96', '43.52', '44.38']","['1050', '427', '973', '347', '160']","['Rengar', 'Sylas', 'Irelia', 'Aatrox', 'Pantheon']","['54.6', '54.41', '54.23', '53.42', '53.41']","['163', '261', '1171', '3396', '659']",3.111
57,Rammus,3.333,top,50.76,0.24,11.36,0,7480,platinum,2.0,,"['Camille', 'Garen', 'Kled', 'Kayle', 'Ornn']","['34.15', '35.24', '35.48', '37.78', '39.39']","['41', '105', '31', '45', '33']","['Yasuo', 'Varus', 'Volibear', 'Yorick', 'Tryndamere']","['70.13', '63.33', '62.5', '62.5', '59.57']","['77', '30', '48', '40', '94']",2.6665
58,Renekton,3.333,top,48.69,4.42,3.53,-7,135029,platinum,2.0,4.0,"['Illaoi', 'Nasus', 'Quinn', 'Ornn', 'Sylas']","['40.62', '41.9', '41.92', '42.96', '43.37']","['1738', '1649', '501', '938', '332']","['Heimerdinger', 'Udyr', 'Gragas', 'Zac', 'Yorick']","['55.41', '55.12', '53.76', '53.74', '53.48']","['157', '127', '279', '147', '1019']",3.111
59,Gwen,3.333,top,49.47,3.52,2.36,-3,107594,platinum,3.0,4.0,"['Vayne', 'Heimerdinger', 'Quinn', 'Singed', 'Warwick']","['38.92', '39.64', '42.03', '42.46', '43.82']","['203', '111', '207', '391', '445']","['Rengar', 'Yorick', 'Renekton', 'Tahm Kench', 'Dr. Mundo']","['55.65', '55.41', '54.89', '53.78', '53.78']","['124', '841', '940', '926', '807']",3.4443333333333332
60,Kennen,3.333,top,48.7,1.5,0.7,-2,45949,platinum,3.0,5.0,"['Dr. Mundo', 'Maokai', 'Nasus', 'Tahm Kench', 'Zed']","['38.69', '39.56', '39.9', '41.8', '43.06']","['305', '91', '832', '189', '72']","['Udyr', 'Wukong', 'Rumble', 'Volibear', 'Poppy']","['62.5', '57.45', '55.41', '54.46', '53.91']","['56', '47', '305', '437', '115']",3.7776666666666667
61,Briar,3.333,top,49.45,0.18,34.05,0,5543,platinum,2.0,,"['Kayle', 'Gangplank', 'Akali', 'Gnar', 'Gwen']","['33.33', '36.59', '36.67', '37.14', '37.5']","['48', '41', '30', '35', '32']","['Sion', 'Jayce', 'Yone', 'Yorick', 'Tahm Kench']","['56.6', '56.25', '54.1', '52.78', '52.63']","['53', '48', '122', '36', '38']",2.6665
62,Gnar,3.333,top,49.39,2.88,0.65,-3,87868,platinum,3.0,4.0,"['Nasus', 'Ornn', 'Quinn', 'Heimerdinger', 'Malphite']","['41.21', '42.9', '43.42', '43.51', '43.83']","['1223', '662', '281', '131', '1483']","['Zed', 'Varus', 'Volibear', 'Yasuo', 'Shen']","['56.56', '54.71', '54.15', '53.49', '53.02']","['122', '276', '903', '559', '315']",3.4443333333333332
63,Karthus,3.666,top,47.21,0.1,1.18,0,3082,platinum,4.0,,"['Aatrox', 'Nasus', 'Trundle', 'Jax', 'Garen']","['30.91', '33.33', '38.6', '39.34', '40.48']","['55', '42', '57', '61', '42']","['Malphite', 'Darius', 'Sett']","['60.98', '57.5', '51.61']","['41', '40', '31']",3.833
64,LeBlanc,3.666,top,47.63,0.1,7.04,0,3179,platinum,4.0,,"['Nasus', 'Gangplank', 'Yorick', 'Malphite', 'Yone']","['40.54', '43.75', '44.44', '44.9', '46.99']","['37', '32', '36', '49', '83']","['Sett', 'Darius', 'Akali', 'Irelia', 'Jax']","['61.76', '58.33', '56.82', '53.19', '53.09']","['34', '60', '44', '47', '81']",3.833
65,Akali,3.666,top,48.39,2.92,17.48,-7,89105,platinum,2.0,5.0,"['Nasus', 'Poppy', 'Quinn', 'Illaoi', 'Sion']","['40.6', '41.95', '42.03', '42.12', '42.9']","['926', '267', '276', '717', '676']","['Gnar', 'Sylas', 'Olaf', 'Yone', 'Maokai']","['53.55', '53.5', '51.63', '51.5', '51.22']","['437', '428', '306', '2295', '123']",3.5553333333333335
66,Gragas,3.666,top,47.59,1.0,0.63,-3,30469,platinum,4.0,5.0,"['Vladimir', 'Poppy', 'Tahm Kench', 'Dr. Mundo', 'Shen']","['36', '38.57', '38.82', '40', '40.52']","['50', '70', '170', '120', '116']","['Wukong', 'Zed', 'Gnar', 'Fiora', 'Teemo']","['56', '54.9', '54.08', '53.73', '53.33']","['50', '51', '196', '322', '285']",4.222
67,Kayn,3.666,top,47.52,0.25,10.75,-1,7589,platinum,3.0,,"['Garen', 'Jayce', 'Yasuo', 'Illaoi', 'Malphite']","['37.8', '38.57', '39.02', '39.51', '39.82']","['127', '70', '41', '81', '113']","['Tryndamere', 'Dr. Mundo', 'Ornn', 'Renekton', 'Volibear']","['60.53', '57.5', '55.17', '54.17', '53.97']","['38', '40', '58', '72', '63']",3.333
68,Rumble,3.666,top,47.83,2.11,1.42,-5,64357,platinum,3.0,5.0,"['Varus', 'Heimerdinger', 'Poppy', 'Sett', 'Irelia']","['39.85', '41', '42.86', '42.92', '43.26']","['133', '100', '203', '657', '645']","['Sylas', 'Gragas', 'Rengar', 'Yasuo', 'Wukong']","['60.67', '57.45', '55.42', '54.46', '52.94']","['178', '141', '83', '325', '85']",3.888666666666667
69,Rek'Sai,3.666,top,46.22,0.02,0.62,0,753,platinum,4.0,,[],[],[],[],[],[],3.833
70,Kalista,3.666,top,45.88,0.22,1.38,-1,6801,platinum,4.0,,"['Sett', 'Malphite', 'Yasuo', 'Renekton', 'Trundle']","['27.5', '31.25', '33.33', '35.56', '36.09']","['40', '128', '42', '45', '169']","['Teemo', 'Yorick', 'Varus', 'Yone', 'Gangplank']","['63.08', '61.76', '55.56', '55.28', '54.17']","['65', '34', '36', '161', '48']",3.833
71,Yone,4.0,top,47.94,9.67,28.79,-32,295337,platinum,1.0,4.0,"['Zac', 'Garen', 'Rengar', 'Nasus', 'Trundle']","['42.89', '43.27', '43.41', '44.3', '44.74']","['415', '5135', '417', '3291', '6636']","['Rumble', 'Gwen', 'Sion', 'Vayne', 'Mordekaiser']","['51.23', '51.05', '50.96', '50.66', '50.56']","['1177', '1861', '2339', '681', '2597']",3.0
72,Yasuo,4.0,top,47.11,2.27,21.73,-9,69184,platinum,3.0,5.0,"['Zac', ""Cho'Gath"", 'Poppy', 'Olaf', 'Nasus']","['39', '39.37', '39.61', '40.08', '40.39']","['100', '348', '154', '242', '817']","['Sylas', 'Pantheon', 'Yorick', 'Zed', 'Akali']","['57.75', '53.39', '51.74', '51.08', '51.03']","['258', '457', '516', '139', '535']",4.0
73,Graves,4.0,top,46.68,0.36,10.04,-1,10982,platinum,4.0,,"['Kled', 'Rumble', 'Olaf', 'Nasus', ""K'Sante""]","['22.58', '34', '36.84', '38.39', '38.81']","['31', '50', '38', '112', '67']","['Kennen', 'Darius', 'Vayne', 'Ornn', 'Singed']","['65.71', '56.79', '54.84', '54.64', '54.55']","['35', '162', '31', '97', '33']",4.0
74,Lissandra,4.0,top,49.34,0.09,1.4,0,2868,platinum,4.0,,"['Jax', 'Nasus', 'Camille', 'Fiora', 'Malphite']","['38.46', '44.26', '45.95', '46.88', '46.88']","['91', '61', '37', '32', '64']","['Gwen', 'Jayce', 'Gangplank', 'Ornn', 'Irelia']","['67.74', '63.16', '60', '60', '56.1']","['31', '38', '40', '35', '41']",4.0
75,Anivia,4.0,top,48.88,0.06,1.28,0,1829,platinum,4.0,,"['Sion', 'Jax', 'Teemo', 'Yone']","['41.18', '41.51', '44.19', '48.98']","['34', '53', '43', '49']","['Aatrox', 'Trundle', 'Nasus', 'Garen', 'Malphite']","['62.5', '60.32', '54.05', '53.49', '53.19']","['48', '63', '37', '43', '47']",4.0
76,Kassadin,4.0,top,48.28,0.05,2.44,0,1537,platinum,3.0,,"['Illaoi', 'Nasus', 'Gangplank', 'Darius', 'Sion']","['29.03', '31.82', '40', '41.46', '43.33']","['31', '44', '30', '41', '30']","['Akali', 'Yone', 'Teemo']","['57.58', '52.83', '52.63']","['33', '53', '38']",3.5
77,Wukong,4.0,top,50.12,0.55,0.32,0,16859,platinum,3.0,5.0,"['Shen', 'Malphite', 'Kennen', 'Trundle', 'Sett']","['40.7', '40.83', '42.55', '43.01', '43.48']","['86', '218', '47', '372', '207']","['Sylas', 'Vayne', 'Warwick', 'Gnar', ""K'Sante""]","['64.1', '62.5', '59.62', '57.29', '56.15']","['39', '48', '52', '96', '130']",4.0
78,Ahri,4.0,top,48.68,0.17,2.4,0,5057,platinum,4.0,,"['Jayce', 'Riven', 'Malphite', 'Aatrox', ""Cho'Gath""]","['35.94', '39.66', '40.43', '42.34', '42.42']","['64', '58', '94', '137', '33']","['Gwen', ""K'Sante"", 'Volibear', 'Teemo', 'Yorick']","['62.86', '59.46', '59.26', '57.14', '57.14']","['35', '37', '54', '84', '49']",4.0
79,Sion,4.333,top,49.51,3.73,1.89,-3,113986,platinum,2.0,4.0,"['Vayne', 'Warwick', 'Trundle', 'Fiora', 'Shen']","['42.32', '43.77', '44.62', '44.83', '45.53']","['475', '281', '2806', '1633', '694']","['Poppy', 'Akali', 'Heimerdinger', 'Kennen', 'Jayce']","['57.96', '57.16', '56.72', '55.97', '55.58']","['245', '684', '201', '318', '1022']",3.4443333333333332
80,Shaco,4.333,top,48.16,0.36,27.34,-1,11020,platinum,3.0,,"['Tryndamere', 'Dr. Mundo', 'Quinn', 'Yorick', 'Kayle']","['34.38', '35.71', '36.67', '36.84', '36.84']","['64', '56', '30', '76', '76']","['Gragas', 'Urgot', 'Teemo', 'Gangplank', 'Volibear']","['70', '58', '57.43', '56.12', '55.45']","['30', '50', '101', '98', '101']",3.6665
81,Malzahar,4.333,top,49.75,0.31,6.78,0,9375,platinum,3.0,,"['Renekton', 'Camille', 'Dr. Mundo', 'Tryndamere', 'Singed']","['37.62', '39.29', '40', '40.51', '40.74']","['101', '112', '80', '79', '54']","['Warwick', 'Yasuo', 'Vladimir', 'Gangplank', 'Shen']","['64.71', '60.22', '59.65', '59.57', '59.38']","['34', '93', '57', '94', '64']",3.6665
82,Ryze,4.333,top,48.84,0.38,0.21,-1,11513,platinum,3.0,,"['Poppy', 'Tahm Kench', 'Ornn', 'Yorick', 'Vayne']","['34.29', '35', '37.66', '40.54', '41.94']","['35', '60', '77', '74', '31']","['Malphite', 'Yasuo', 'Sylas', 'Varus', 'Rumble']","['61.63', '59.46', '57.14', '56.67', '55.7']","['172', '74', '35', '30', '79']",3.6665
83,Gangplank,4.333,top,48.78,3.92,2.93,-6,119634,platinum,3.0,4.0,"['Zac', 'Kled', 'Tahm Kench', 'Maokai', 'Trundle']","['41.33', '43.56', '43.66', '44.12', '44.41']","['196', '404', '655', '136', '2596']","['Rumble', 'Yasuo', 'Gwen', 'Volibear', 'Vladimir']","['54.69', '54.22', '53.34', '53.27', '52.92']","['618', '664', '793', '856', '274']",3.7776666666666667
84,Ivern,4.666,top,44.4,0.03,0.72,0,928,platinum,5.0,,[],[],[],[],[],[],4.833
85,Karma,4.666,top,46.41,0.21,1.46,-1,6523,platinum,4.0,,"['Shen', 'Dr. Mundo', 'Gnar', 'Tryndamere', 'Gwen']","['30', '30.3', '34', '34.09', '34.38']","['30', '33', '50', '44', '32']","['Ornn', 'Olaf', 'Renekton', ""K'Sante"", 'Teemo']","['61.22', '57.58', '57.14', '53.66', '53.33']","['49', '33', '56', '41', '90']",4.333
86,Shyvana,4.666,top,49.72,0.36,0.45,0,11100,platinum,3.0,,"['Gwen', ""Cho'Gath"", 'Jax', 'Yasuo', 'Sion']","['40.63', '41.86', '42.98', '43.08', '43.22']","['96', '43', '242', '65', '118']","['Varus', 'Yorick', 'Poppy', 'Gangplank', 'Kennen']","['75', '59.8', '59.38', '58.09', '58.06']","['36', '102', '32', '136', '31']",3.833
87,Veigar,4.666,top,49.12,0.17,2.29,0,5273,platinum,3.0,,"['Singed', 'Kled', 'Camille', 'Gnar', 'Quinn']","['34.38', '35.48', '39.22', '40', '40.43']","['32', '31', '51', '45', '47']","['Gwen', 'Sion', 'Akali', 'Illaoi', 'Fiora']","['68.09', '67.47', '66', '60.23', '56.52']","['47', '83', '50', '88', '69']",3.833
88,Yorick,5.0,top,49.79,3.18,4.25,-2,97246,platinum,2.0,4.0,"['Kled', 'Sylas', 'Trundle', 'Irelia', 'Varus']","['40.72', '43.11', '43.73', '43.85', '44.21']","['307', '225', '2255', '1318', '285']","['Heimerdinger', 'Illaoi', 'Jayce', 'Maokai', 'Kennen']","['56', '54.91', '54.46', '53.76', '53.58']","['150', '1497', '953', '93', '293']",3.6666666666666665
89,Master Yi,5.0,top,46.38,0.26,12.69,-1,7930,platinum,4.0,,"['Pantheon', 'Akali', 'Tryndamere', 'Tahm Kench', 'Sett']","['28.57', '30.43', '36.59', '36.67', '36.71']","['35', '46', '41', '30', '79']","['Gnar', 'Mordekaiser', 'Jayce', 'Yone', 'Illaoi']","['61.76', '52.83', '51', '50.88', '50.75']","['34', '53', '100', '171', '67']",4.5
90,Hwei,5.0,top,40.2,0.34,26.08,-5,10295,platinum,5.0,,"['Volibear', 'Zed', 'Quinn', 'Dr. Mundo', 'Kennen']","['31.25', '31.58', '31.94', '32.71', '33.33']","['128', '38', '72', '107', '63']","['Heimerdinger', 'Poppy']","['55.88', '54.29']","['34', '35']",5.0
91,Xin Zhao,5.0,top,47.77,0.19,0.25,0,5809,platinum,4.0,,"['Teemo', 'Mordekaiser', 'Ornn', 'Volibear', 'Sion']","['28.21', '28.26', '35.9', '37.93', '38.1']","['39', '46', '39', '58', '42']","['Renekton', 'Akali', 'Yasuo', 'Rumble', 'Kayle']","['60.71', '58.97', '57.58', '56.76', '55.93']","['56', '39', '33', '37', '59']",4.5
92,Corki,5.333,top,45.73,0.03,0.11,0,820,platinum,5.0,,[],[],[],['Jax'],['51.52'],['33'],5.1665
93,Sejuani,5.333,top,46.9,0.14,0.36,0,4303,platinum,5.0,,"['Riven', 'Camille', 'Aatrox', 'Gwen', ""K'Sante""]","['28.95', '32.76', '36.55', '37.14', '40.54']","['38', '58', '145', '35', '37']","['Irelia', 'Illaoi', 'Darius', 'Gangplank', 'Fiora']","['60', '55', '54.55', '54.55', '52.83']","['40', '40', '66', '33', '53']",5.1665
94,Skarner,5.333,top,44.53,0.09,0.1,-1,2859,platinum,5.0,,"['Nasus', 'Camille', 'Garen', 'Gangplank', 'Sett']","['26.47', '38.71', '38.71', '40', '41.67']","['34', '31', '31', '30', '36']",['Illaoi'],['51.61'],['31'],5.1665
1,Jax,0.666,jungle,50.76,1.86,20.82,1,57232,platinum,2.0,4.0,"['Pantheon', 'Lillia', 'Brand', 'Ivern', 'Zac']","['40.85', '41.54', '42.86', '43.7', '43.96']","['71', '455', '434', '119', '389']","['Zed', 'Diana', 'Teemo', 'Trundle', 'Hecarim']","['57.28', '56.51', '55.42', '54.35', '54.26']","['103', '653', '83', '276', '540']",2.222
2,Briar,0.666,jungle,53.1,7.28,34.05,31,223762,platinum,1.0,1.0,"['Rammus', 'Nocturne', 'Pantheon', 'Zac']","['46.52', '48.77', '48.99', '49.97']","['3433', '6893', '296', '1835']","['Nidalee', 'Nunu & Willump', 'Sylas', 'Rengar', 'Xin Zhao']","['58.82', '58.02', '57.79', '57.58', '57.31']","['1649', '1365', '1630', '1419', '1094']",0.8886666666666666
3,Master Yi,1.0,jungle,51.54,7.1,12.69,10,218260,platinum,1.0,2.0,"['Rammus', 'Ivern', 'Evelynn', ""Rek'Sai"", 'Warwick']","['43.8', '45.76', '46.15', '46.76', '47.01']","['3799', '531', '1855', '432', '2110']","['Rengar', 'Zed', 'Pantheon', 'Kindred', 'Nunu & Willump']","['55.87', '55.34', '54.93', '54.79', '54.43']","['1371', '421', '284', '991', '1218']",1.3333333333333333
4,Kayn,1.0,jungle,50.47,10.86,10.75,2,333855,platinum,1.0,2.0,"['Trundle', 'Rammus', 'Nocturne', 'Talon', 'Briar']","['45.41', '46.18', '46.3', '46.64', '46.74']","['1524', '2761', '9635', '1117', '6117']","['Zed', 'Sejuani', 'Pantheon', 'Nidalee', 'Teemo']","['54.6', '53.43', '53.18', '52.79', '52.74']","['729', '2130', '519', '1938', '529']",1.3333333333333333
5,Ivern,1.333,jungle,51.85,1.15,0.72,2,35276,platinum,3.0,4.0,"['Teemo', 'Talon', 'Brand', 'Rammus', 'Briar']","['41.46', '45.32', '47.61', '48', '48.7']","['41', '139', '418', '250', '692']","['Pantheon', 'Wukong', 'Sylas', 'Jax', 'Taliyah']","['62.22', '62.16', '57.83', '57.52', '56.79']","['45', '111', '230', '113', '162']",2.7776666666666667
6,Nocturne,1.333,jungle,53.18,11.53,21.48,43,354449,platinum,1.0,1.0,"['Taliyah', 'Fiddlesticks', 'Ivern', 'Zac']","['48.84', '49.13', '49.75', '49.9']","['1724', '2691', '1206', '3000']","[""Rek'Sai"", 'Rengar', 'Poppy', 'Teemo', 'Elise']","['58.4', '56.28', '56.04', '55.68', '55.23']","['714', '2063', '2029', '625', '1559']",1.111
7,Bel'Veth,1.333,jungle,50.39,3.34,3.88,0,102659,platinum,3.0,3.0,"['Rammus', 'Elise', 'Poppy', 'Ivern', 'Fiddlesticks']","['44.77', '45.32', '46.44', '47.04', '47.35']","['1043', '417', '646', '270', '775']","['Sylas', 'Nidalee', 'Talon', ""Rek'Sai"", 'Hecarim']","['55.97', '55.25', '54.4', '54.36', '52.8']","['695', '724', '386', '241', '1034']",2.4443333333333332
8,Ekko,1.666,jungle,50.69,5.82,2.54,2,178744,platinum,2.0,3.0,"['Maokai', 'Briar', 'Amumu', 'Rammus', 'Ivern']","['45.66', '46.03', '46.57', '46.8', '47.18']","['1095', '3102', '1471', '1342', '496']","['Trundle', 'Nunu & Willump', 'Karthus', 'Wukong', ""Rek'Sai""]","['54.51', '53.5', '53.46', '53.36', '53.11']","['732', '1028', '924', '669', '386']",2.222
9,Graves,1.666,jungle,50.39,11.6,10.04,1,356422,platinum,1.0,2.0,"['Ivern', 'Fiddlesticks', 'Amumu', 'Briar', 'Rammus']","['46.31', '47.24', '47.32', '47.42', '47.51']","['881', '2479', '2223', '6375', '3048']","['Volibear', 'Sylas', 'Shaco', ""Rek'Sai"", 'Shyvana']","['55.24', '54.28', '53.4', '52.27', '52.1']","['429', '3176', '5369', '792', '1718']",1.5553333333333335
10,Karthus,1.666,jungle,50.22,2.26,1.18,0,69601,platinum,3.0,4.0,"['Ivern', 'Trundle', 'Shyvana', 'Master Yi', 'Ekko']","['43.46', '43.94', '45.61', '45.9', '46.59']","['214', '264', '342', '1074', '938']","['Wukong', 'Sylas', 'Xin Zhao', 'Nidalee', 'Elise']","['56.22', '54.7', '54.52', '53.55', '53.21']","['249', '627', '332', '620', '280']",2.888666666666667
11,Zac,1.666,jungle,50.99,3.29,1.51,2,101000,platinum,2.0,3.0,"['Ivern', 'Taliyah', 'Rammus', 'Talon', 'Lillia']","['45.88', '47.26', '47.48', '47.76', '47.78']","['279', '565', '794', '402', '1149']","['Jax', 'Sejuani', 'Viego', 'Xin Zhao', 'Wukong']","['56.22', '55.7', '54.11', '53.86', '53.8']","['386', '693', '1593', '440', '355']",2.222
12,Evelynn,1.666,jungle,51.16,3.91,5.98,4,120222,platinum,2.0,3.0,"['Briar', 'Nocturne', 'Nunu & Willump', ""Bel'Veth"", 'Talon']","['46.42', '47.07', '48.06', '48.27', '48.56']","['2320', '3680', '697', '984', '486']","['Xin Zhao', 'Taliyah', 'Sylas', 'Nidalee', 'Udyr']","['56.15', '54.65', '54.53', '54.01', '53.99']","['577', '527', '816', '774', '589']",2.222
13,Brand,2.0,jungle,51.3,3.84,6.63,4,118040,platinum,2.0,2.0,"['Trundle', 'Nocturne', 'Briar', 'Viego', 'Diana']","['46.8', '47.52', '48.25', '48.83', '49.27']","['485', '3481', '2259', '1884', '1435']","['Sylas', 'Jax', ""Rek'Sai"", 'Nunu & Willump', 'Rammus']","['56.76', '56.71', '55.46', '55.11', '55.05']","['740', '425', '229', '842', '852']",2.0
14,Poppy,2.0,jungle,50.15,2.75,2.74,0,84662,platinum,3.0,4.0,"['Nocturne', 'Lillia', 'Maokai', 'Teemo', 'Brand']","['44', '44.14', '44.4', '44.79', '44.96']","['2057', '759', '491', '96', '565']","['Sylas', 'Rengar', 'Wukong', 'Pantheon', 'Kindred']","['57.73', '56.07', '55.84', '55.46', '55.32']","['705', '494', '274', '119', '432']",3.0
15,Shaco,2.0,jungle,50.84,6.49,27.34,5,199447,platinum,1.0,2.0,"['Briar', 'Graves', 'Lillia', 'Kayn', 'Udyr']","['46.23', '46.6', '48.01', '48.64', '48.67']","['3863', '5369', '1985', '5611', '941']","['Wukong', 'Sylas', 'Teemo', 'Kindred', 'Nidalee']","['56.82', '56.03', '55.94', '55.89', '55.78']","['667', '1228', '379', '1052', '1454']",1.6666666666666667
16,Taliyah,2.0,jungle,49.93,2.1,0.88,-1,64646,platinum,3.0,4.0,"['Talon', 'Trundle', 'Pantheon', 'Ivern', 'Shyvana']","['39.22', '40.8', '42.42', '43.21', '43.34']","['306', '201', '66', '162', '293']","['Wukong', 'Sylas', 'Kindred', 'Jax', 'Zed']","['57.98', '55.75', '53.69', '53.56', '53.4']","['238', '644', '352', '267', '103']",3.0
