rank,champion_name,tier,lane,win_rate,pick_rate,ban_rate,pbi,games_played,tier_rank
32,Pantheon,A-,middle,50.77,2.38,3.48,2,404703,all
33,Kled,B+,middle,53.69,0.11,0.74,0,18296,all
34,Garen,B+,middle,54.11,0.44,6.26,2,74340,all
35,Zilean,B+,middle,52.34,0.17,0.48,0,28558,all
36,Neeko,B+,middle,51.04,2.48,4.50,3,422624,all
37,Vex,B+,middle,51.61,4.14,4.54,7,704683,all
38,Ornn,B+,middle,51.58,0.07,0.71,0,12587,all
39,Diana,B+,middle,51.66,1.79,1.85,3,304694,all
40,Viktor,B+,middle,51.79,2.99,1.21,5,509342,all
41,Twitch,B+,middle,51.42,0.23,4.62,0,38649,all
42,Katarina,B+,middle,49.87,5.65,5.78,-1,960367,all
43,Malzahar,B,middle,52.39,4.32,6.96,11,734523,all
44,Gragas,B,middle,50.47,0.37,0.60,0,62221,all
45,Veigar,B,middle,51.67,5.38,3.23,9,914514,all
46,Karthus,B,middle,49.69,0.18,1.37,0,31384,all
47,Kayle,B,middle,53.33,0.27,1.28,1,45681,all
48,Aatrox,B,middle,50.70,0.38,12.78,0,64656,all
49,Yasuo,B,middle,49.51,11.15,23.83,-7,1897516,all
50,Teemo,B,middle,52.28,0.39,10.21,1,66555,all
51,Annie,B,middle,51.23,1.41,0.57,2,240470,all
52,Renekton,B,middle,50.91,0.44,3.44,0,74285,all
53,Rumble,B,middle,51.26,0.47,1.46,1,79880,all
54,Jayce,B-,middle,49.69,2.87,2.77,-1,487994,all
55,Lissandra,B-,middle,51.28,2.52,1.19,3,427906,all
56,Sett,B-,middle,52.62,0.38,2.80,1,64414,all
57,Urgot,B-,middle,51.83,0.07,0.93,0,11945,all
58,K'Sante,B-,middle,48.22,0.20,4.79,0,33814,all
59,Qiyana,B-,middle,48.75,1.77,0.36,-2,300815,all
60,Tristana,B-,middle,51.06,1.13,2.82,1,192998,all
61,Tahm Kench,B-,middle,51.59,0.11,1.85,0,18852,all
62,Nunu,B-,middle,49.48,0.27,0.54,0,45095,all
63,Akali,B-,middle,49.67,9.97,17.46,-4,1696448,all
64,Mordekaiser,C+,middle,52.40,0.27,7.81,1,45260,all
65,Zed,C+,middle,48.73,8.13,26.26,-14,1383933,all
66,Shen,C+,middle,51.85,0.06,0.25,0,10147,all
67,Vel'Koz,C+,middle,51.33,0.84,0.57,1,142958,all
68,Malphite,C+,middle,51.19,1.09,9.29,1,184616,all
69,Zoe,C+,middle,48.92,1.96,1.03,-2,333330,all
70,Morgana,C+,middle,51.89,0.63,26.41,2,106661,all
71,Pyke,C+,middle,49.22,0.16,11.63,0,26513,all
72,Gwen,C+,middle,50.10,0.11,2.21,0,18215,all
73,Orianna,C,middle,49.07,7.83,8.62,-8,1331414,all
74,Yone,C,middle,49.31,11.20,27.89,-11,1905006,all
75,Sion,C,middle,51.13,0.38,1.68,0,64687,all
76,Yorick,C,middle,52.08,0.22,5.00,0,36698,all
77,Azir,C,middle,48.08,3.11,0.75,-6,529678,all
78,Gangplank,C,middle,50.50,0.44,2.51,0,74130,all
79,Kai'Sa,C,middle,47.21,0.38,4.40,-1,63819,all
80,Cho'Gath,C-,middle,50.77,0.54,0.90,0,91600,all
81,Ahri,C-,middle,50.02,7.35,2.66,0,1250707,all
82,Ziggs,C-,middle,50.42,1.16,2.86,1,198115,all
83,Seraphine,C-,middle,49.47,0.26,1.19,0,43586,all
84,LeBlanc,C-,middle,48.41,3.80,7.00,-7,646473,all
85,Xin Zhao,C-,middle,51.08,0.13,0.32,0,22277,all
86,Varus,D+,middle,47.78,0.39,2.72,-1,66230,all
87,Ezreal,D+,middle,46.06,0.59,11.37,-3,100434,all
88,Hwei,D+,middle,41.58,10.71,22.65,-117,1822027,all
89,Ryze,D+,middle,49.70,1.46,0.23,0,248513,all
90,Shyvana,D,middle,51.61,0.10,0.55,0,16168,all
91,Karma,D,middle,47.17,0.15,1.25,0,26256,all
92,Zyra,D,middle,50.22,0.19,7.98,0,32797,all
93,Wukong,D,middle,50.88,0.09,0.34,0,15207,all
94,Kog'Maw,D-,middle,49.81,0.11,0.37,0,19316,all
95,Corki,D-,middle,49.31,0.70,0.12,0,118742,all
96,Lucian,D-,middle,46.12,0.41,3.26,-2,70303,all
1,Karthus,S+,bottom,54.05,0.23,1.37,1,38757,all
2,Vayne,S,bottom,51.55,10.63,9.80,18,1808716,all
3,Yasuo,S-,bottom,50.81,1.82,23.83,2,310378,all
4,Jhin,S-,bottom,51.34,15.90,3.73,22,2704350,all
5,Swain,A+,bottom,53.97,0.57,3.78,2,96566,all
6,Ezreal,A+,bottom,50.05,22.21,11.37,1,3779245,all
7,Cassiopeia,A,bottom,52.62,0.12,1.25,0,21247,all
8,Ashe,A,bottom,50.86,11.60,7.32,11,1972753,all
9,Jinx,A,bottom,50.40,12.73,2.06,5,2164919,all
10,Twitch,A,bottom,51.15,4.87,4.62,6,828333,all
11,Brand,A-,bottom,52.02,0.28,7.77,1,47953,all
12,Ziggs,A-,bottom,51.94,2.34,2.86,5,398562,all
13,Heimerdinger,A-,bottom,51.82,0.20,1.66,0,33359,all
14,Tahm Kench,B+,bottom,53.73,0.28,1.85,1,47748,all
15,Seraphine,B+,bottom,53.06,0.69,1.19,2,117983,all
16,Nilah,B+,bottom,51.71,1.82,3.73,3,309959,all
17,Aurelion Sol,B+,bottom,53.24,0.10,1.21,0,17051,all
